,morpho_spp,bird_species,sample,no_morpho,no_seeds,unique,plant_family,plant_genus,plant_genus_morpho
71,O,Ramphocelus carbo,110,3,1,m_29,Euphorbiaceae,Alchornea,Alchornea
72,P,Chiroxiphia galeata,458,3,7,m_30,Rubiaceae,Psychotria,Psychotria
73,P,Chiroxiphia galeata,113,1,2,m_30,Rubiaceae,Psychotria,Psychotria
74,P,Chiroxiphia galeata,381,2,2,m_30,Rubiaceae,Psychotria,Psychotria
75,P,Chiroxiphia galeata,412,3,1,m_30,Rubiaceae,Psychotria,Psychotria
76,Q,Chiroxiphia galeata,458,3,1,m_31,Myrtaceae,Myrtaceae_2,Myrtaceae_1
77,R,Chiroxiphia galeata,447,3,2,m_32,Solanaceae,Solanum,Solanum_2
78,R,Chiroxiphia galeata,458,3,27,m_32,Solanaceae,Solanum,Solanum_2
79,R,Ramphocelus carbo,321,1,88,m_32,Solanaceae,Solanum,Solanum_2
80,S,Lathrotriccus euleri,365,1,2,m_33,unknown,unknown_5,unknown_5
81,T,Chiroxiphia galeata,195,3,2,m_34,Loranthaceae,Struthanthus,Struthanthus
82,U,Chiroxiphia galeata,195,3,2,m_35,Pereaceae,Pera,Pera
83,V,Chiroxiphia galeata,195,3,15,m_36,Rosaceae,Rubus,Rubus_2
84,W,Turdus leucomelas,198,1,3,m_37,Verbenaceae,Lantanta,Lantanta
85,X,Turdus leucomelas,201,1,2,m_38,Sapindaceae,Allophylus,Allophylus
86,X,Turdus amaurochalinus,199,1,1,m_38,Sapindaceae,Allophylus,Allophylus
87,Y,Thraupis sayaca,212,2,1,m_39,Moraceae,Maclura,Maclura
88,Z,Chiroxiphia galeata,255,2,1,m_40,Myrtaceae,Myrtaceae_2,Myrtaceae_2
