"","mes-de-seq","especie","amostra","tag","total_no_reads_pool","threshold","OTU","no_reads_OTU","final_fate","family","genus","double_checked_CIM","first_species_BLAST","first_species_BOLD","species","seeds_found","notes"
"38","Nov-2023","Tachyphonus coronatus","419","E",30995,15,"P04_E_01",93,1,"Amaranthaceae","Chamissoa",NA,"Chamissoa altissima",NA,NA,NA,"Chamissoa or Amaranthus"
"39","Nov-2023","Tachyphonus coronatus","419","E",30995,15,"P04_E_02",31,1,"Piperaceae","Piper",NA,"Piper amalago",NA,"amalago",NA,NA
"40","Nov-2023","Turdus amaurochalinus","181","H",30995,15,"P04_H_01",56,1,"Melastomataceae","Miconia","X","Miconia pusilliflora",NA,NA,NA,NA
"41","Jun-2023","Ramphocelus carbo","269","B",44492,2,"P00_B_01",42742,1,"Melastomataceae","Miconia",NA,"Miconia",NA,NA,NA,NA
"42","Jun-2023","Turdus leucomelas","027","A",44492,2,"P00_A_01",896,1,"Moraceae","Morus","X","Morus sp.",NA,NA,NA,NA
"43","Jun-2023","Ramphocelus carbo","269","B",44492,2,"P00_B_03",823,1,"Melastomataceae","Miconia",NA,"Henriettea glabra",NA,NA,NA,"acabei classificando como Miconia pq n<e3>o tem Henreittea na region, confirma que n<e3>o <e9> Leandra"
"44","Nov-2023","Manacus manacus","286","B",43495,22,"P03_B_01",19259,1,"Asteraceae","Tilesia",NA,"Wollastonia biflora",NA,"baccata",NA,"Tilesia or Wollastonia, either way, introduced"
"45","Nov-2023","Manacus manacus","286","B",43495,22,"P03_B_02",4900,1,"Heliotropiaceae","Myriopus",NA,"Myriopus salzmannii",NA,NA,NA,"Tournefortia volubilis? https://www.colecionandofrutas.com.br/tournefortiarubicunda.htm Myriopus cf. rubicundus"
"46","Nov-2023","Manacus manacus","286","B",43495,22,"P03_B_03",2586,1,"Sapindaceae","Serjania/Paullinia",NA,"Serjania brachycarpa",NA,NA,NA,"Serjania or Paullinia"
"47","Nov-2023","Eucometis penicillata","084","D",43495,22,"P03_D_01",216,1,"Salicaceae","Casearia","X","Casearia sylvestris",NA,NA,NA,NA
"48","Nov-2023","Antilophia galeata","195","E",43495,22,"P03_E_01",74,1,"Rosaceae","Rubus",NA,"Rubus amabilis",NA,NA,NA,"check seeds"
"49","Jul-2024","Manacus manacus","437","A",1107,1,"P07_A_01",18,1,"Meliaceae","Trichilia",NA,"Aphanamixis polystachya","Trichilia poeppigii",NA,NA,NA
"50","Jul-2024","Manacus manacus","437","A",1107,1,"P07_A_02",25,1,"Fabaceae","Centrolobium",NA,"Centrolobium tomentosum","Pterocarpus soyauxii","tomentosum",NA,"Pterocarpus also"
"51","Jul-2024","Tachyphonus coronatus","272","B",1107,1,"P07_B_01",449,1,"Piperaceae","Piper",NA,"Piper amalago","Piper amalago","amalago",NA,"same as seeds found!"
"52","Jul-2024","Tachyphonus coronatus","272","B",1107,1,"P07_B_02",45,1,"Salicaceae","Casearia",NA,"Casearia sylvestris","Casearia sylvestris",NA,NA,NA
"53","Jul-2024","Tachyphonus coronatus","420","E",1107,1,"P07_E_01",4,1,"Piperaceae","Piper",NA,"Piper amalago","Piper sp.",NA,1,"same as seeds found!"
"54","Jul-2024","Myiarchus ferox","241","B",291,0,"P08_B_01",88,1,"Melastomataceae","Miconia",NA,"Miconia pusilliflora","Clidemia urceolata",NA,1,"same as seeds found! but detected as contamination? and < 97 reads, excluded sample"
"55","Jul-2024","Eucometis penicillata","040","A",25923,13,"P09_A_01",136,1,"Salicaceae","Casearia","X","Casearia sylvestris","Casearia sylvestris",NA,1,"same as seeds found!"
"56","Jul-2024","Antilophia galeata","384","B",25923,13,"P09_B_01",19882,1,"Melastomataceae","Miconia",NA,"Miconia pusilliflora","Clidemia urceolata",NA,NA,">97 reads"
"57","Jul-2024","Antilophia galeata","384","B",25923,13,"P09_B_02",31,1,"Euphorbiaceae","Alchornea",NA,"Alchornea glandulosa","Alchornea costaricensis",NA,NA,NA
"58","Jul-2024","Antilophia galeata","087","C",25923,13,"P09_C_01",114,1,"Myrtaceae","Myrcia","X","Calyptranthes concinna","Calyptranthes chiapensis",NA,NA,"esse genero n<e3>o existe mais, <e9> tudo Myrcia agora"
"59","Jul-2024","Manacus manacus","287","D",25923,13,"P09_D_01",50,1,"Cannabaceae","Trema",NA,"Trema lamarckianum","Muntingia calabura",NA,NA,"Muntingiaceae on BOLD"
"60","Jul-2024","Manacus manacus","287","D",25923,13,"P09_D_02",20,1,"Melastomataceae","Miconia",NA,"Miconia melastomoides","Clidemia urceolata",NA,NA,NA
"61","Jul-2024","Antilophia galeata","290","E",25923,13,"P09_E_01",146,1,"Myrtaceae","Psidium",NA,"Psidium cattleyanum","Eugenia/Psidium",NA,NA,NA
"62","Jul-2024","Nemosia pileata","050","H",25923,13,"P09_H_01",23,1,"Salicaceae","Casearia","X","Casearia sylvestris","Casearia sylvestris",NA,NA,NA
